"prevalence","area","scenario","water","week"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
10,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
10,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
20,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
30,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
20,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
0,"other","Baseline","Dry","1"
47.6190476190476,"loading","Baseline","Wet","8"
66.6666666666667,"loading","Baseline","Wet","8"
38.0952380952381,"loading","Baseline","Wet","8"
57.1428571428571,"loading","Baseline","Wet","8"
4.76190476190476,"loading","Baseline","Wet","8"
14.2857142857143,"loading","Baseline","Wet","8"
38.0952380952381,"loading","Baseline","Wet","8"
47.6190476190476,"loading","Baseline","Wet","8"
42.8571428571429,"loading","Baseline","Wet","8"
61.9047619047619,"loading","Baseline","Wet","8"
90.4761904761905,"loading","Baseline","Wet","8"
57.1428571428571,"loading","Baseline","Wet","8"
71.4285714285714,"loading","Baseline","Wet","8"
76.1904761904762,"loading","Baseline","Wet","8"
28.5714285714286,"loading","Baseline","Wet","8"
66.6666666666667,"loading","Baseline","Wet","8"
28.5714285714286,"loading","Baseline","Wet","8"
33.3333333333333,"loading","Baseline","Wet","8"
38.0952380952381,"loading","Baseline","Wet","8"
76.1904761904762,"loading","Baseline","Wet","8"
42.8571428571429,"loading","Baseline","Wet","8"
71.4285714285714,"loading","Baseline","Wet","8"
42.8571428571429,"loading","Baseline","Wet","8"
9.52380952380952,"loading","Baseline","Wet","8"
28.5714285714286,"loading","Baseline","Wet","8"
28.5714285714286,"loading","Baseline","Wet","8"
42.8571428571429,"loading","Baseline","Wet","8"
42.8571428571429,"loading","Baseline","Wet","8"
28.5714285714286,"loading","Baseline","Wet","8"
33.3333333333333,"loading","Baseline","Wet","8"
33.3333333333333,"loading","Baseline","Wet","8"
85.7142857142857,"loading","Baseline","Wet","8"
23.8095238095238,"loading","Baseline","Wet","8"
61.9047619047619,"loading","Baseline","Wet","8"
80.9523809523809,"loading","Baseline","Wet","8"
80.9523809523809,"loading","Baseline","Wet","8"
19.047619047619,"loading","Baseline","Wet","8"
33.3333333333333,"loading","Baseline","Wet","8"
57.1428571428571,"loading","Baseline","Wet","8"
61.9047619047619,"loading","Baseline","Wet","8"
57.1428571428571,"loading","Baseline","Wet","8"
71.4285714285714,"loading","Baseline","Wet","8"
47.6190476190476,"loading","Baseline","Wet","8"
52.3809523809524,"loading","Baseline","Wet","8"
19.047619047619,"loading","Baseline","Wet","8"
33.3333333333333,"loading","Baseline","Wet","8"
71.4285714285714,"loading","Baseline","Wet","8"
42.8571428571429,"loading","Baseline","Wet","8"
33.3333333333333,"loading","Baseline","Wet","8"
57.1428571428571,"loading","Baseline","Wet","8"
61.9047619047619,"loading","Baseline","Wet","8"
